"timestep","pft","prop_agents"
1,"diatom_prop",15.970515970516
2,"diatom_prop",14.7368421052632
3,"diatom_prop",18.0582524271845
4,"diatom_prop",18
5,"diatom_prop",17.5972927241963
6,"diatom_prop",17.2697368421053
7,"diatom_prop",17.6
8,"diatom_prop",17.3374613003096
9,"diatom_prop",17.351598173516
10,"diatom_prop",18.0327868852459
11,"diatom_prop",17.8623718887262
12,"diatom_prop",18.6685962373372
13,"diatom_prop",18.3791606367583
14,"diatom_prop",17.8260869565217
15,"diatom_prop",17.6890156918688
16,"diatom_prop",17.536231884058
17,"diatom_prop",17.4418604651163
18,"diatom_prop",17.2767203513909
19,"diatom_prop",17.3469387755102
20,"diatom_prop",18.1286549707602
21,"diatom_prop",17.930029154519
22,"diatom_prop",17.6991150442478
23,"diatom_prop",17.1597633136095
24,"diatom_prop",17.3913043478261
25,"diatom_prop",17.503805175038
26,"diatom_prop",17.4242424242424
27,"diatom_prop",17.8625954198473
28,"diatom_prop",17.737003058104
29,"diatom_prop",17.5654853620955
30,"diatom_prop",18.0685358255452
31,"diatom_prop",18.28125
32,"diatom_prop",17.9527559055118
33,"diatom_prop",17.96875
34,"diatom_prop",17.4726989079563
35,"diatom_prop",17.6287051482059
36,"diatom_prop",17.693522906793
37,"diatom_prop",17.1653543307087
38,"diatom_prop",17.2955974842767
39,"diatom_prop",17.0347003154574
40,"diatom_prop",17.6100628930818
41,"diatom_prop",17.4050632911392
42,"diatom_prop",17.5438596491228
43,"diatom_prop",17.6282051282051
44,"diatom_prop",17.4959871589085
45,"diatom_prop",18.1523500810373
46,"diatom_prop",17.8861788617886
47,"diatom_prop",18.3006535947712
48,"diatom_prop",18.407960199005
49,"diatom_prop",18.6978297161937
50,"diatom_prop",18.8333333333333
51,"diatom_prop",18.7919463087248
52,"diatom_prop",18.5929648241206
53,"diatom_prop",18.6125211505922
54,"diatom_prop",18.5810810810811
55,"diatom_prop",18.9509306260575
56,"diatom_prop",19.0152801358234
57,"diatom_prop",18.6440677966102
58,"diatom_prop",18.696397941681
59,"diatom_prop",18.7817258883249
60,"diatom_prop",18.9419795221843
61,"diatom_prop",18.7607573149742
62,"diatom_prop",18.4027777777778
63,"diatom_prop",18.4801381692573
64,"diatom_prop",18.3246073298429
65,"diatom_prop",18.1818181818182
66,"diatom_prop",18.4347826086957
67,"diatom_prop",18.9236111111111
68,"diatom_prop",18.9141856392294
69,"diatom_prop",18.8712522045855
70,"diatom_prop",18.3246073298429
71,"diatom_prop",18.3887915936953
72,"diatom_prop",18.2456140350877
73,"diatom_prop",18.5512367491166
74,"diatom_prop",18.7279151943463
75,"diatom_prop",18.4534270650264
76,"diatom_prop",18.1975736568458
77,"diatom_prop",17.8130511463845
78,"diatom_prop",18.1657848324515
79,"diatom_prop",18.7279151943463
80,"diatom_prop",17.9715302491103
81,"diatom_prop",18.1981981981982
82,"diatom_prop",18.1494661921708
83,"diatom_prop",18.3928571428571
84,"diatom_prop",17.6470588235294
85,"diatom_prop",17.6785714285714
86,"diatom_prop",17.5
87,"diatom_prop",17.6895306859206
88,"diatom_prop",17.2661870503597
89,"diatom_prop",17.5627240143369
90,"diatom_prop",17.5627240143369
91,"diatom_prop",17.4545454545455
92,"diatom_prop",17.5182481751825
93,"diatom_prop",17.7007299270073
94,"diatom_prop",17.3674588665448
95,"diatom_prop",17.4074074074074
96,"diatom_prop",18.0297397769517
97,"diatom_prop",18.3333333333333
98,"diatom_prop",17.6691729323308
99,"diatom_prop",17.3258003766478
100,"diatom_prop",17.3584905660377
101,"diatom_prop",17.0172084130019
102,"diatom_prop",16.8260038240918
103,"diatom_prop",17.1698113207547
104,"diatom_prop",17.5803402646503
105,"diatom_prop",17.680608365019
106,"diatom_prop",17.6470588235294
107,"diatom_prop",17.1153846153846
108,"diatom_prop",17.175572519084
109,"diatom_prop",17.3076923076923
110,"diatom_prop",17.3745173745174
111,"diatom_prop",17.3489278752437
112,"diatom_prop",17.8294573643411
113,"diatom_prop",17.9732313575526
114,"diatom_prop",18.4615384615385
115,"diatom_prop",18.3752417794971
116,"diatom_prop",18.252427184466
117,"diatom_prop",18.664047151277
118,"diatom_prop",18.3266932270916
119,"diatom_prop",19.0196078431373
120,"diatom_prop",18.5546875
121,"diatom_prop",18.5185185185185
122,"diatom_prop",18.4971098265896
123,"diatom_prop",18.6311787072243
124,"diatom_prop",18.9035916824197
125,"diatom_prop",18.6311787072243
126,"diatom_prop",18.3018867924528
127,"diatom_prop",18.1297709923664
128,"diatom_prop",18.5393258426966
129,"diatom_prop",18.7384044526902
