"timestep","pft","num_agents"
292,"diatom",8.2
293,"diatom",8.3
294,"diatom",8.25
295,"diatom",8.25
296,"diatom",8.2
297,"diatom",8
298,"diatom",8
299,"diatom",7.85
300,"diatom",7.75
301,"diatom",7.8
302,"diatom",7.7
303,"diatom",7.8
304,"diatom",7.75
305,"diatom",7.75
306,"diatom",7.7
307,"diatom",7.65
308,"diatom",7.7
309,"diatom",7.75
310,"diatom",7.75
311,"diatom",7.8
312,"diatom",7.8
313,"diatom",7.7
314,"diatom",7.7
315,"diatom",7.65
316,"diatom",7.55
317,"diatom",7.8
318,"diatom",7.85
319,"diatom",7.7
320,"diatom",7.6
321,"diatom",7.5
322,"diatom",7.55
323,"diatom",7.5
324,"diatom",7.55
325,"diatom",7.35
326,"diatom",7.35
327,"diatom",7.45
328,"diatom",7.45
329,"diatom",7.3
330,"diatom",7.3
331,"diatom",7.2
332,"diatom",7.1
333,"diatom",7.1
334,"diatom",7
335,"diatom",7.05
336,"diatom",6.9
337,"diatom",7.05
338,"diatom",7.1
339,"diatom",6.95
340,"diatom",6.9
341,"diatom",6.95
342,"diatom",6.95
343,"diatom",6.85
344,"diatom",6.65
345,"diatom",6.7
346,"diatom",6.65
347,"diatom",6.65
348,"diatom",6.65
349,"diatom",6.65
350,"diatom",6.75
351,"diatom",6.8
352,"diatom",6.65
353,"diatom",6.6
354,"diatom",6.65
355,"diatom",6.75
356,"diatom",6.7
357,"diatom",6.75
358,"diatom",6.7
359,"diatom",6.7
360,"diatom",6.75
361,"diatom",6.6
362,"diatom",6.6
363,"diatom",6.55
364,"diatom",6.35
365,"diatom",6.55
366,"diatom",6.45
367,"diatom",6.55
368,"diatom",6.5
369,"diatom",6.6
370,"diatom",6.6
371,"diatom",6.45
372,"diatom",6.45
373,"diatom",6.45
374,"diatom",6.35
375,"diatom",6.2
376,"diatom",6.25
377,"diatom",6.3
378,"diatom",6.15
379,"diatom",6.3
380,"diatom",6.2
381,"diatom",6.25
382,"diatom",6.3
383,"diatom",6.3
384,"diatom",6.3
385,"diatom",6.2
386,"diatom",6.25
387,"diatom",6.25
388,"diatom",6.4
389,"diatom",6.35
390,"diatom",6.3
391,"diatom",6.35
392,"diatom",6.15
393,"diatom",6.2
394,"diatom",6.3
395,"diatom",6.15
396,"diatom",6.15
397,"diatom",5.75
398,"diatom",5.85
399,"diatom",5.75
400,"diatom",5.85
401,"diatom",5.85
402,"diatom",5.85
403,"diatom",5.8
404,"diatom",5.65
405,"diatom",5.7
406,"diatom",5.75
407,"diatom",5.6
408,"diatom",5.6
409,"diatom",5.75
410,"diatom",5.75
411,"diatom",5.7
412,"diatom",5.8
413,"diatom",5.8
414,"diatom",5.7
415,"diatom",5.85
