"depth","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"0.1",27.6929219144869,27.5516228722263,27.4174689986252,27.2708988176143,27.1494342514377,27.0203435096836,26.8839531205263,26.7925078056353,26.761158457841,26.7948975404476,27.0209417345715,27.3466257274034,27.7159795562702,27.8921456607411,28.0663560921441,28.1261980131684,28.229448560077,28.2902373217174,28.2130712259402,28.1153215108606,28.0166194710476,27.9093235724007,27.7953038287757,27.7021391064313
"0.2",27.6929219144869,27.5516228722263,27.4174689986252,27.2708988176143,27.1494342514377,27.0203435096836,26.8839531205263,26.7925078056353,26.761158457841,26.7948975404476,27.0209417345715,27.3466257273822,27.7159795475636,27.8921456592602,28.0663560909666,28.1261980131684,28.229448560077,28.2902373217174,28.2130712259402,28.1153215108606,28.0166194710476,27.9093235724007,27.7953038287757,27.7021391064313
"0.3",27.6929219144869,27.5516228722263,27.4174689986252,27.2708988176143,27.1494342514377,27.0203435096836,26.8839531205263,26.7925078056353,26.761158457841,26.7948975404476,27.0209417345715,27.3466257253281,27.7159787029098,27.8921455155412,28.0663559766334,28.1261980127696,28.229448559174,28.2902373209559,28.2130712257836,28.1153215107468,28.0166194710476,27.9093235724007,27.7953038287757,27.7021391064313
"0.4",27.6929219144869,27.5516228722263,27.4174689986252,27.2708988176143,27.1494342514377,27.0203435096836,26.8839531205263,26.7925078056353,26.761158457841,26.7948975404476,27.0209417345715,27.346625719808,27.7159764347221,27.8921451298286,28.0663556699751,28.1261980121011,28.229448557661,28.2902373196804,28.2130712253614,28.1153215104401,28.0166194710476,27.9093235724007,27.7953038287757,27.7021391064313
"0.5",27.692921914313,27.5516228722263,27.4174689986252,27.2708988176143,27.1494342514377,27.0203435096836,26.8839531205263,26.7925078056353,26.761158457841,26.7948975404476,27.0209417345715,27.3466248705242,27.7159344506095,27.8921316147453,28.0663434359062,28.1261978669557,28.2294482290957,28.290237042635,28.2130711606945,28.1153214634449,28.0166194708084,27.9093235721335,27.7953038286994,27.7021391063415
"0.6",27.6929219140157,27.5516228720488,27.4174689986252,27.2708988176143,27.1494342514377,27.0203435096836,26.8839531205263,26.7925078056353,26.761158457841,26.7948975404476,27.0209417343685,27.3466232848278,27.7158578683694,27.8921066796002,28.0663208441356,28.126194707549,28.2294428751941,28.290232607589,28.2130710404563,28.1153213760952,28.0166194603733,27.9093235604663,27.7953038285696,27.7021391061888
"0.7",27.6929218282034,27.5516228711509,27.4174689986252,27.2708988176143,27.1494342514377,27.0203435096836,26.8839531205263,26.7925078056353,26.761158457841,26.7948975404476,27.0209417329585,27.3465661599666,27.7143313022457,27.8910989528332,28.0652533763685,28.1261787240896,28.2294162444472,28.2902106276705,28.2130584773333,28.115312463979,28.0166193911576,27.9093234831389,27.7953037909044,27.7021390618638
"0.8",27.6929217322205,27.551622773134,27.4174689978719,27.2708988176143,27.1494342514377,27.0203435096836,26.8839531205263,26.7925078056353,26.761158457841,26.7948975404476,27.0209416052167,27.3464867723089,27.7122323413389,27.8897021371666,28.0637744015829,28.125664102836,28.2287847483136,28.2896844377404,28.2130410702219,28.1153001271145,28.0166162686004,27.909320551238,27.7953037494285,27.702139013062
"0.9",27.6929178350471,27.5516225195287,27.4174689812597,27.2708988175989,27.1494342514197,27.0203435096836,26.8839531205263,26.7925078056353,26.761158457841,26.7948975404476,27.0209411979826,27.3461378142991,27.7018182024606,27.8759517074779,28.0467830929794,28.1243126390338,28.2271412185314,28.2883170931096,28.2127634738995,28.1151029547913,28.0166065346348,27.9093114427973,27.7953014365527,27.7021368602426
"1",27.6929008613081,27.5516104001346,27.4174687378172,27.2708988169713,27.1494342506947,27.0203435096836,26.8839531205263,26.7925078056353,26.761158457841,26.7948975404476,27.0209275082936,27.3422834126646,27.5874568621355,27.7261968152477,27.8634243555323,28.0388807989879,28.1435789991018,28.214079184093,28.2098675434816,28.1130557544736,28.0160007590304,27.9088394378365,27.7952918121844,27.7021279058672
"1.1",27.6928224367138,27.551585094449,27.4174642531123,27.2708987808753,27.1494342088809,27.0203435095023,26.8839531204964,26.7925078056235,26.7611584578344,26.7948975404412,27.0208920244624,27.3422834126646,27.5446700360493,27.659987779915,27.7748548453026,27.8544665934028,27.9639330389535,28.0546719805714,28.2098675434816,28.1130557544736,28.0144411724627,27.9076273115956,27.7952160246361,27.7020716752063
"1.2",27.6911014273517,27.5515844396481,27.4174408735367,27.2708985126634,27.1494338991093,27.0203435092445,26.8839531202554,26.7925078055288,26.7611584577811,26.7948975403898,27.0208871001045,27.222236647674,27.4103665613526,27.5164801516274,27.6212755670863,27.6856710719491,27.7631779779598,27.8296775925785,27.8812840921426,27.8700513976033,28.0142356059597,27.9074678289794,27.7938308410156,27.7010456331837
"1.3",27.690944587695,27.5495677898015,27.4174339677335,27.270898417438,27.1494337892718,27.0203434197056,26.8839531201673,26.7925078054942,26.7611584577617,26.794897540371,27.019028990351,27.1711058703083,27.3307626970664,27.4209011571593,27.510072334032,27.5642518237561,27.6247190205398,27.6765259723229,27.6978512528798,27.7037442625397,27.7629873078737,27.7321904616695,27.7937187767923,27.7009627282953
"1.4",27.5504677641136,27.5491903017021,27.4160967271637,27.2708788294106,27.1494164019045,27.0203433455504,26.8839530442828,26.7925077756428,26.761158440984,26.7948975241596,27.0182956833626,27.1446768237004,27.2777101842865,27.352928922726,27.4276932898571,27.4727360481066,27.5230711031177,27.565942127234,27.5823178502841,27.5859126955899,27.5903882593585,27.5875909463544,27.6337792830771,27.5957989530396
