"Depth_m","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
0.1,0.560037391418656,0.572457756014517,0.585381129814623,0.601226806939021,0.612056215746536,0.624948290710869,0.636834393999975,0.62494732114251,0.619104081609899,0.60684563430582,0.594582838774042,0.582355195978482,0.570334984184334,0.558679799045976,0.547410563305333,0.536643360992416,0.526046470752168,0.515759482060399,0.505725665585065,0.495768850094288,0.486229952199356,0.497042239469818,0.509114151248196,0.520116508082643
0.2,0.560094089027651,0.572477676015732,0.58540034331483,0.601245973487644,0.612075276854677,0.624966740642275,0.636853238655531,0.624417864071872,0.618576503368198,0.606321163731469,0.594123061505063,0.582012932361816,0.56999581222661,0.558345440487448,0.547081521348311,0.536195218738748,0.525604095847191,0.515322723172727,0.505412960463969,0.495459769366481,0.485808951547807,0.497062638145188,0.509173900626979,0.520176146991451
0.3,0.560261871932591,0.572711988521353,0.585664486610735,0.601507205570011,0.612335149511827,0.625240229276069,0.637109877870679,0.624522678293551,0.618681293867355,0.606427302665043,0.594144841058957,0.581914881191864,0.569901423128059,0.558254968820612,0.546995317465222,0.536245232362988,0.525657687997668,0.515379491644955,0.505338308081745,0.495387037201225,0.485858251313785,0.497296730667617,0.509344383038134,0.520346269125537
0.4,0.560597095892645,0.573089313917747,0.585973995623162,0.601820565087431,0.612646790901308,0.625500187037041,0.637418881623865,0.624830117732607,0.618988014018862,0.606734576186337,0.594517702310405,0.582233170341563,0.570223874618306,0.558579428421063,0.547321853776456,0.536632134869466,0.526046408392802,0.515769471462845,0.505667309747922,0.495714885411355,0.486248609527615,0.497685764560887,0.509680460167724,0.520681599486618
0.5,0.560754254549505,0.573161000637858,0.586068117460881,0.601910661291802,0.612736221491489,0.625629091102522,0.637506209932577,0.624916853635195,0.619074463580465,0.606821100431632,0.594593506669352,0.582398050592507,0.570390975068963,0.5587473336799,0.54749070887561,0.536704266400529,0.526118589968465,0.515841607515704,0.505837127207625,0.495884055858133,0.486325818700716,0.497762639248121,0.509837200099412,0.520837982556085
0.6,0.560784990014677,0.573207048642085,0.586130060853723,0.601971953381012,0.612797081496349,0.625685491347753,0.637566092898856,0.624976350412912,0.619133775097746,0.606880474081891,0.594632905791372,0.58242903997985,0.570422743027864,0.558779066361523,0.547522634424807,0.536748708316175,0.526163093441006,0.515886103773218,0.505869251530823,0.495916075833953,0.486365757959334,0.497802399320827,0.509868377041923,0.520869092867005
0.7,0.560834951355582,0.573242373688441,0.586164494961937,0.602006195146486,0.612831130991968,0.625723723932519,0.63759978667441,0.625009869443977,0.619167213394559,0.606913970454064,0.594667027025264,0.582476075705648,0.570478103167505,0.558832816664421,0.547576788808581,0.53678460526521,0.526199171516069,0.515922262969313,0.50591782985926,0.495964495397625,0.486401328599645,0.497837845134906,0.50991885128465,0.520919459379493
0.8,0.560889239088935,0.573366916430356,0.586298738422344,0.602143351207784,0.612967605794707,0.625774239907086,0.637735382063583,0.625144838759069,0.619301900459736,0.607048933201379,0.594776760943075,0.582541275368496,0.570554779135131,0.558907376718287,0.547651931916525,0.536911848760312,0.526327589741935,0.516050679645772,0.505985457542813,0.496031927154336,0.486517135313199,0.497953346980421,0.509974490553049,0.520974983950919
0.9,0.561069608273327,0.573634389608484,0.586461912500647,0.602307703827261,0.613131146444031,0.626004337333341,0.63789768780006,0.625334409376141,0.619463123305912,0.607210487495271,0.595053777890376,0.5827117940341,0.570787915887764,0.559187530752404,0.547960458720072,0.537192395268757,0.526610507368474,0.516333006025523,0.506164001340384,0.496209975519956,0.486806677405028,0.498242068849744,0.510164621869435,0.52116483171793
1,0.561721464987264,0.573905236594797,0.586775973527108,0.602609459113485,0.613431087770156,0.626429765487808,0.63819175389393,0.627190564944827,0.619754782778183,0.607502591885824,0.595317079133347,0.583369176586542,0.572108722694956,0.560996713998992,0.550047236754404,0.537917898615843,0.527297104556399,0.516942727585812,0.506823076501644,0.496865891458254,0.487142466696754,0.498533106016758,0.510812376578932,0.52181135284925
1.1,0.561767330013093,0.574179832848747,0.587048964941478,0.602882756606289,0.613702661865639,0.626584335543266,0.638459985759959,0.629216842697233,0.620020728881892,0.607768912141002,0.595557875349002,0.583409251573241,0.572227796310195,0.561132179582419,0.550153981955015,0.539167220747042,0.528457183955488,0.517935100450994,0.506864516622699,0.496974574052294,0.487552262707861,0.498827845093414,0.510857054789001,0.521856963891331
1.2,0.561933338237958,0.57423027161464,0.587138990773881,0.602969817235323,0.613789241198573,0.626624433102886,0.638545605985364,0.632442363085957,0.620105688678049,0.607854015583953,0.595630414706228,0.584043867812152,0.572736531728878,0.56153060115703,0.550431668209962,0.539421222089148,0.52853131662665,0.517767464973641,0.507001374290248,0.500234437215315,0.490576572225392,0.498907615146537,0.510973965788028,0.521992289348373
1.3,0.56199562861003,0.574527049571081,0.587200472557656,0.603032209753118,0.613851262345696,0.626705293344195,0.638607243164588,0.635559142314494,0.620166825872406,0.60791524759127,0.595687667432579,0.584295954316096,0.57299294443621,0.561772642402553,0.550643036215835,0.539587471141366,0.528628897072877,0.517768247749863,0.507006821394153,0.503590202622308,0.499163709866985,0.50991266614707,0.511031506971198,0.522051207056773
1.4,0.575965073740989,0.574619122587795,0.587467648013122,0.603080150564671,0.613899590533997,0.626780788839998,0.638652872343716,0.638539201296514,0.620212099746037,0.607960595710816,0.595737246288468,0.584418043503025,0.573162801823452,0.561967605946277,0.550848614939624,0.539791176632787,0.528817360477632,0.517927462009004,0.507118806887783,0.507008341046102,0.506839493291514,0.518781597164387,0.524989740811065,0.536491462480291
1.5,0.590099637094162,0.593787536276877,0.58763915235138,0.603113964222737,0.613933739295614,0.626815830541036,0.63868500299889,0.641387668289435,0.620243963173314,0.60799250527283,0.596103485962831,0.584752940739349,0.573470540754959,0.562250619701762,0.551102385379335,0.540012191268391,0.52900001183096,0.518066767075469,0.507211941180791,0.51030893869568,0.513309038541737,0.525248353441917,0.537120387577476,0.548955349592753
