"timestep","pft","num_agents"
293,"diatom",5.9
294,"diatom",5.8
295,"diatom",6
296,"diatom",5.85
297,"diatom",5.95
298,"diatom",6
299,"diatom",5.85
300,"diatom",5.8
301,"diatom",5.9
302,"diatom",5.75
303,"diatom",5.65
304,"diatom",5.5
305,"diatom",5.6
306,"diatom",5.6
307,"diatom",5.5
308,"diatom",5.55
309,"diatom",5.4
310,"diatom",5.25
311,"diatom",5.25
312,"diatom",5.45
313,"diatom",5.55
314,"diatom",5.55
315,"diatom",5.55
316,"diatom",5.5
317,"diatom",5.5
318,"diatom",5.55
319,"diatom",5.4
320,"diatom",5.55
321,"diatom",5.55
322,"diatom",5.6
323,"diatom",5.55
324,"diatom",5.5
325,"diatom",5.55
326,"diatom",5.65
327,"diatom",5.6
328,"diatom",5.55
329,"diatom",5.5
330,"diatom",5.55
331,"diatom",5.25
332,"diatom",5.35
333,"diatom",5.25
334,"diatom",5.2
335,"diatom",5.2
336,"diatom",5.4
337,"diatom",5.2
338,"diatom",5.2
339,"diatom",5.2
340,"diatom",5.1
341,"diatom",4.9
342,"diatom",4.9
343,"diatom",4.95
344,"diatom",5
345,"diatom",5.05
346,"diatom",5.05
347,"diatom",5.05
348,"diatom",5.2
349,"diatom",5.25
350,"diatom",5.25
351,"diatom",5.3
352,"diatom",5.45
353,"diatom",5.6
354,"diatom",5.45
355,"diatom",5.6
356,"diatom",5.65
357,"diatom",5.7
358,"diatom",5.75
359,"diatom",5.75
360,"diatom",5.6
361,"diatom",5.45
362,"diatom",5.4
363,"diatom",5.4
364,"diatom",5.35
365,"diatom",5.3
366,"diatom",5.25
367,"diatom",5.25
368,"diatom",5.15
369,"diatom",5.2
370,"diatom",5.2
371,"diatom",5.1
372,"diatom",5.2
373,"diatom",5.15
374,"diatom",5
375,"diatom",4.95
376,"diatom",5
377,"diatom",4.9
378,"diatom",4.85
379,"diatom",4.8
380,"diatom",4.65
381,"diatom",4.8
382,"diatom",4.75
383,"diatom",4.85
384,"diatom",4.65
385,"diatom",4.55
386,"diatom",4.65
387,"diatom",4.5
388,"diatom",4.4
389,"diatom",4.45
390,"diatom",4.55
391,"diatom",4.55
392,"diatom",4.55
393,"diatom",4.75
394,"diatom",4.7
395,"diatom",4.7
396,"diatom",4.7
397,"diatom",4.7
398,"diatom",4.85
399,"diatom",4.9
400,"diatom",5
401,"diatom",5
402,"diatom",4.9
403,"diatom",4.85
404,"diatom",4.7
405,"diatom",4.8
406,"diatom",4.75
407,"diatom",4.85
408,"diatom",4.8
409,"diatom",4.85
410,"diatom",4.75
411,"diatom",4.75
412,"diatom",4.65
413,"diatom",4.55
414,"diatom",4.55
415,"diatom",4.45
416,"diatom",4.4
417,"diatom",4.45
418,"diatom",4.45
419,"diatom",4.55
420,"diatom",4.55
421,"diatom",4.65
422,"diatom",4.65
423,"diatom",4.55
424,"diatom",4.75
425,"diatom",4.8
426,"diatom",4.8
427,"diatom",4.8
428,"diatom",5
429,"diatom",5
430,"diatom",5.05
431,"diatom",5.15
432,"diatom",5.3
433,"diatom",5.15
434,"diatom",5.3
435,"diatom",5.4
436,"diatom",5.55
437,"diatom",5.5
438,"diatom",5.45
439,"diatom",5.65
440,"diatom",5.5
441,"diatom",5.6
442,"diatom",5.5
443,"diatom",5.6
444,"diatom",5.5
445,"diatom",5.45
446,"diatom",5.55
447,"diatom",5.5
448,"diatom",5.6
449,"diatom",5.65
450,"diatom",5.8
451,"diatom",5.95
452,"diatom",6
453,"diatom",6.35
454,"diatom",6.15
455,"diatom",6.05
456,"diatom",6.15
457,"diatom",6.2
458,"diatom",6.35
459,"diatom",6.3
460,"diatom",6.45
461,"diatom",6.45
462,"diatom",6.4
463,"diatom",6.2
464,"diatom",6.3
465,"diatom",6.25
466,"diatom",6.35
467,"diatom",6.35
468,"diatom",6.35
469,"diatom",6.35
470,"diatom",6.6
471,"diatom",6.5
472,"diatom",6.55
473,"diatom",6.5
474,"diatom",6.55
475,"diatom",6.6
476,"diatom",6.65
477,"diatom",6.75
478,"diatom",6.85
479,"diatom",6.9
480,"diatom",6.75
481,"diatom",6.85
482,"diatom",6.95
483,"diatom",6.75
484,"diatom",6.9
485,"diatom",7.05
486,"diatom",7
487,"diatom",7.15
488,"diatom",7.2
489,"diatom",7.2
490,"diatom",7.3
491,"diatom",7.25
492,"diatom",7.2
493,"diatom",7.35
494,"diatom",7.45
495,"diatom",7.55
496,"diatom",7.45
497,"diatom",7.45
498,"diatom",7.45
499,"diatom",7.7
500,"diatom",7.85
501,"diatom",7.95
502,"diatom",7.85
503,"diatom",7.9
504,"diatom",7.8
505,"diatom",7.95
506,"diatom",7.85
507,"diatom",7.85
508,"diatom",7.95
509,"diatom",7.8
510,"diatom",7.75
511,"diatom",7.8
512,"diatom",8.05
513,"diatom",8.2
514,"diatom",8.3
515,"diatom",8.25
516,"diatom",8.45
517,"diatom",8.6
518,"diatom",8.65
519,"diatom",8.7
520,"diatom",8.55
521,"diatom",8.45
522,"diatom",8.45
523,"diatom",8.5
524,"diatom",8.6
525,"diatom",8.7
526,"diatom",8.7
527,"diatom",8.7
528,"diatom",8.5
529,"diatom",8.45
530,"diatom",8.55
531,"diatom",8.65
532,"diatom",8.95
533,"diatom",9.05
534,"diatom",8.95
535,"diatom",8.9
536,"diatom",9.1
537,"diatom",9.1
538,"diatom",8.95
539,"diatom",9.15
540,"diatom",9.45
541,"diatom",9.6
542,"diatom",9.45
543,"diatom",9.55
544,"diatom",9.45
545,"diatom",9.55
546,"diatom",9.5
547,"diatom",9.45
548,"diatom",9.75
549,"diatom",9.9
550,"diatom",9.7
551,"diatom",9.95
552,"diatom",10
553,"diatom",10.1
554,"diatom",10
555,"diatom",10
556,"diatom",9.9
557,"diatom",10.05
558,"diatom",10.15
559,"diatom",10.1
560,"diatom",10.1
561,"diatom",10.6
562,"diatom",10.45
563,"diatom",10.6
564,"diatom",10.7
565,"diatom",10.75
566,"diatom",10.75
567,"diatom",10.65
568,"diatom",10.95
569,"diatom",11
570,"diatom",11.35
571,"diatom",11.1
572,"diatom",11.3
573,"diatom",11.3
574,"diatom",11.55
575,"diatom",11.45
576,"diatom",11.65
577,"diatom",11.45
578,"diatom",11.45
579,"diatom",11.65
580,"diatom",11.55
581,"diatom",11.75
582,"diatom",11.75
583,"diatom",11.9
584,"diatom",11.8
585,"diatom",11.75
586,"diatom",11.8
587,"diatom",11.65
588,"diatom",11.55
589,"diatom",11.65
590,"diatom",11.7
591,"diatom",11.75
592,"diatom",11.9
593,"diatom",11.7
594,"diatom",11.9
595,"diatom",12.05
596,"diatom",12.1
597,"diatom",12.1
598,"diatom",12.45
599,"diatom",12.45
600,"diatom",12.45
601,"diatom",12.3
602,"diatom",12.4
603,"diatom",12.55
604,"diatom",12.15
605,"diatom",12
606,"diatom",12.2
607,"diatom",12.25
608,"diatom",12.35
609,"diatom",12.35
610,"diatom",12.45
611,"diatom",12.55
612,"diatom",12.9
613,"diatom",12.95
614,"diatom",12.9
615,"diatom",13.15
616,"diatom",13.3
617,"diatom",13.2
618,"diatom",13.5
619,"diatom",13.25
620,"diatom",13.55
621,"diatom",13.65
622,"diatom",13.55
623,"diatom",13.7
624,"diatom",13.7
625,"diatom",13.7
626,"diatom",13.6
627,"diatom",13.6
628,"diatom",13.65
629,"diatom",13.45
630,"diatom",14
631,"diatom",14.05
632,"diatom",14.25
633,"diatom",14.15
634,"diatom",14.4
635,"diatom",14.9
636,"diatom",14.85
637,"diatom",14.75
638,"diatom",14.9
639,"diatom",14.85
640,"diatom",14.85
641,"diatom",14.95
642,"diatom",14.75
643,"diatom",14.9
644,"diatom",14.7
645,"diatom",14.75
646,"diatom",14.8
647,"diatom",14.85
648,"diatom",14.75
649,"diatom",15.05
650,"diatom",14.7
651,"diatom",14.9
652,"diatom",15.15
653,"diatom",15.5
654,"diatom",15.7
655,"diatom",15.8
656,"diatom",16
657,"diatom",16
658,"diatom",15.75
