"timestep","pft","prop_agents"
1,"diatom_prop",18.4343434343434
2,"diatom_prop",19.5604395604396
3,"diatom_prop",19.4117647058824
4,"diatom_prop",19.2028985507246
5,"diatom_prop",19.6891191709845
6,"diatom_prop",19.4304857621441
7,"diatom_prop",19.8387096774194
8,"diatom_prop",18.7207488299532
9,"diatom_prop",18.960244648318
10,"diatom_prop",19.8184568835098
11,"diatom_prop",19.2192192192192
12,"diatom_prop",20
13,"diatom_prop",19.8518518518519
14,"diatom_prop",19.6165191740413
15,"diatom_prop",19.6745562130178
16,"diatom_prop",18.9705882352941
17,"diatom_prop",18.7958883994126
18,"diatom_prop",19.1679049034175
19,"diatom_prop",18.8622754491018
20,"diatom_prop",18.5907046476762
21,"diatom_prop",18.5128983308042
22,"diatom_prop",17.8625954198473
23,"diatom_prop",17.9173047473201
24,"diatom_prop",17.6923076923077
25,"diatom_prop",17.8018575851393
26,"diatom_prop",18.0404354587869
27,"diatom_prop",17.9968701095462
28,"diatom_prop",17.246835443038
29,"diatom_prop",16.9059011164274
30,"diatom_prop",17.5718849840256
31,"diatom_prop",17.515923566879
32,"diatom_prop",17.3633440514469
33,"diatom_prop",17.5697865353038
34,"diatom_prop",17.3267326732673
35,"diatom_prop",17.4129353233831
36,"diatom_prop",17.5
37,"diatom_prop",17.7554438860972
38,"diatom_prop",17.5379426644182
39,"diatom_prop",17.8268251273345
40,"diatom_prop",16.7521367521368
41,"diatom_prop",17.1526586620926
42,"diatom_prop",17.2945205479452
43,"diatom_prop",17.0689655172414
44,"diatom_prop",17.2711571675302
45,"diatom_prop",17.2173913043478
46,"diatom_prop",17.3451327433628
47,"diatom_prop",17.8130511463845
48,"diatom_prop",17.9396092362345
49,"diatom_prop",17.7536231884058
50,"diatom_prop",17.7330895795247
51,"diatom_prop",18.232044198895
52,"diatom_prop",18.5185185185185
53,"diatom_prop",18.3333333333333
54,"diatom_prop",18.3018867924528
55,"diatom_prop",18.4905660377358
56,"diatom_prop",18.1992337164751
57,"diatom_prop",18.0769230769231
58,"diatom_prop",18.6046511627907
59,"diatom_prop",18.6507936507937
60,"diatom_prop",18.3632734530938
61,"diatom_prop",18.1636726546906
62,"diatom_prop",18.1818181818182
63,"diatom_prop",18.2555780933063
64,"diatom_prop",18.1451612903226
65,"diatom_prop",18.4584178498986
66,"diatom_prop",18.3673469387755
67,"diatom_prop",18.2377049180328
68,"diatom_prop",18.200408997955
69,"diatom_prop",18.1262729124236
70,"diatom_prop",17.5365344467641
71,"diatom_prop",17.2839506172839
72,"diatom_prop",17.1487603305785
73,"diatom_prop",16.6315789473684
74,"diatom_prop",16.7701863354037
75,"diatom_prop",16.6666666666667
76,"diatom_prop",16.7014613778706
77,"diatom_prop",16.6315789473684
78,"diatom_prop",16.7023554603854
79,"diatom_prop",16.7741935483871
80,"diatom_prop",17.381974248927
81,"diatom_prop",17.2113289760349
82,"diatom_prop",17.1739130434783
83,"diatom_prop",17.0305676855895
84,"diatom_prop",16.6306695464363
85,"diatom_prop",16.9603524229075
86,"diatom_prop",17.4778761061947
87,"diatom_prop",16.8514412416851
88,"diatom_prop",17.0022371364653
