"timestep","Depth_m","num_agents"
1,0.1,11
2,0.1,11
3,0.1,14
4,0.1,14
5,0.1,15
6,0.1,15
7,0.1,16
8,0.1,16
9,0.1,21
10,0.1,21
11,0.1,19
12,0.1,20
13,0.1,21
14,0.1,23
15,0.1,23
16,0.1,24
17,0.1,23
18,0.1,22
19,0.1,24
20,0.1,23
21,0.1,23
22,0.1,24
23,0.1,24
24,0.1,22
25,0.1,21
26,0.1,20
27,0.1,20
28,0.1,21
29,0.1,22
30,0.1,20
31,0.1,21
32,0.1,24
33,0.1,23
34,0.1,25
35,0.1,25
36,0.1,29
37,0.1,27
38,0.1,30
39,0.1,29
40,0.1,29
41,0.1,27
42,0.1,29
43,0.1,26
44,0.1,25
45,0.1,26
46,0.1,26
47,0.1,24
48,0.1,27
49,0.1,27
50,0.1,30
51,0.1,31
52,0.1,30
53,0.1,32
54,0.1,31
55,0.1,32
56,0.1,33
57,0.1,33
58,0.1,33
59,0.1,36
60,0.1,38
61,0.1,31
62,0.1,30
63,0.1,30
64,0.1,31
65,0.1,36
66,0.1,35
67,0.1,34
68,0.1,34
69,0.1,33
70,0.1,33
71,0.1,36
72,0.1,37
73,0.1,34
74,0.1,35
75,0.1,35
76,0.1,36
77,0.1,35
78,0.1,34
79,0.1,37
80,0.1,39
81,0.1,39
82,0.1,37
83,0.1,38
84,0.1,31
85,0.1,31
86,0.1,34
87,0.1,35
88,0.1,35
89,0.1,39
90,0.1,39
91,0.1,42
92,0.1,39
93,0.1,40
94,0.1,43
95,0.1,41
96,0.1,40
97,0.1,42
98,0.1,40
99,0.1,35
100,0.1,36
101,0.1,40
102,0.1,43
103,0.1,45
104,0.1,43
105,0.1,43
106,0.1,43
107,0.1,45
108,0.1,46
109,0.1,46
110,0.1,44
111,0.1,47
112,0.1,45
113,0.1,49
114,0.1,48
115,0.1,45
116,0.1,43
117,0.1,39
118,0.1,38
119,0.1,33
120,0.1,34
1,0.2,8
2,0.2,9
3,0.2,4
4,0.2,5
5,0.2,7
6,0.2,8
7,0.2,10
8,0.2,10
9,0.2,5
10,0.2,5
11,0.2,11
12,0.2,9
13,0.2,9
14,0.2,6
15,0.2,4
16,0.2,3
17,0.2,6
18,0.2,12
19,0.2,11
20,0.2,10
21,0.2,12
22,0.2,9
23,0.2,7
24,0.2,11
25,0.2,14
26,0.2,14
27,0.2,18
28,0.2,14
29,0.2,13
30,0.2,17
31,0.2,12
32,0.2,10
33,0.2,16
34,0.2,13
35,0.2,12
36,0.2,10
37,0.2,14
38,0.2,12
39,0.2,14
40,0.2,13
41,0.2,11
42,0.2,8
43,0.2,11
44,0.2,10
45,0.2,8
46,0.2,10
47,0.2,14
48,0.2,9
49,0.2,12
50,0.2,8
51,0.2,11
52,0.2,13
53,0.2,11
54,0.2,18
55,0.2,16
56,0.2,15
57,0.2,12
58,0.2,12
59,0.2,15
60,0.2,12
61,0.2,19
62,0.2,22
63,0.2,21
64,0.2,21
65,0.2,13
66,0.2,12
67,0.2,11
68,0.2,10
69,0.2,14
70,0.2,15
71,0.2,14
72,0.2,12
73,0.2,15
74,0.2,13
75,0.2,9
76,0.2,11
77,0.2,16
78,0.2,20
79,0.2,18
80,0.2,15
81,0.2,13
82,0.2,14
83,0.2,14
84,0.2,21
85,0.2,25
86,0.2,23
87,0.2,21
88,0.2,26
89,0.2,22
90,0.2,19
91,0.2,19
92,0.2,26
93,0.2,23
94,0.2,20
95,0.2,19
96,0.2,17
97,0.2,17
98,0.2,20
99,0.2,24
100,0.2,20
101,0.2,16
102,0.2,15
103,0.2,14
104,0.2,16
105,0.2,16
106,0.2,17
107,0.2,18
108,0.2,13
109,0.2,14
110,0.2,21
111,0.2,13
112,0.2,16
113,0.2,14
114,0.2,14
