"timestep","Depth_m","num_agents"
115,0.2,22
116,0.2,16
117,0.2,19
118,0.2,22
119,0.2,25
120,0.2,24
1,0.3,10
2,0.3,11
3,0.3,13
4,0.3,11
5,0.3,9
6,0.3,14
7,0.3,11
8,0.3,10
9,0.3,7
10,0.3,9
11,0.3,5
12,0.3,5
13,0.3,7
14,0.3,7
15,0.3,13
16,0.3,12
17,0.3,11
18,0.3,9
19,0.3,6
20,0.3,5
21,0.3,6
22,0.3,9
23,0.3,11
24,0.3,13
25,0.3,10
26,0.3,14
27,0.3,9
28,0.3,7
29,0.3,10
30,0.3,9
31,0.3,11
32,0.3,14
33,0.3,6
34,0.3,9
35,0.3,15
36,0.3,9
37,0.3,5
38,0.3,7
39,0.3,8
40,0.3,6
41,0.3,12
42,0.3,11
43,0.3,11
44,0.3,15
45,0.3,11
46,0.3,5
47,0.3,9
48,0.3,11
49,0.3,11
50,0.3,11
51,0.3,14
52,0.3,13
53,0.3,10
54,0.3,6
55,0.3,8
56,0.3,8
57,0.3,14
58,0.3,15
59,0.3,9
60,0.3,9
61,0.3,10
62,0.3,8
63,0.3,10
64,0.3,11
65,0.3,11
66,0.3,13
67,0.3,16
68,0.3,14
69,0.3,11
70,0.3,10
71,0.3,15
72,0.3,18
73,0.3,13
74,0.3,14
75,0.3,20
76,0.3,20
77,0.3,18
78,0.3,15
79,0.3,12
80,0.3,12
81,0.3,12
82,0.3,14
83,0.3,16
84,0.3,19
85,0.3,15
86,0.3,14
87,0.3,17
88,0.3,9
89,0.3,12
90,0.3,14
91,0.3,13
92,0.3,11
93,0.3,13
94,0.3,11
95,0.3,15
96,0.3,20
97,0.3,11
98,0.3,12
99,0.3,14
100,0.3,13
101,0.3,14
102,0.3,12
103,0.3,19
104,0.3,17
105,0.3,16
106,0.3,12
107,0.3,9
108,0.3,16
109,0.3,17
110,0.3,12
111,0.3,18
112,0.3,15
113,0.3,14
114,0.3,13
115,0.3,10
116,0.3,17
117,0.3,20
118,0.3,15
119,0.3,16
120,0.3,17
1,0.4,10
2,0.4,13
3,0.4,11
4,0.4,12
5,0.4,12
6,0.4,6
7,0.4,5
8,0.4,9
9,0.4,5
10,0.4,6
11,0.4,6
12,0.4,7
13,0.4,6
14,0.4,9
15,0.4,6
16,0.4,6
17,0.4,9
18,0.4,5
19,0.4,3
20,0.4,9
21,0.4,9
22,0.4,11
23,0.4,10
24,0.4,3
25,0.4,7
26,0.4,9
27,0.4,6
28,0.4,13
29,0.4,10
30,0.4,8
31,0.4,7
32,0.4,5
33,0.4,10
34,0.4,12
35,0.4,6
36,0.4,13
37,0.4,13
38,0.4,10
39,0.4,5
40,0.4,9
41,0.4,5
42,0.4,6
43,0.4,11
44,0.4,10
45,0.4,20
46,0.4,22
47,0.4,16
48,0.4,18
49,0.4,12
50,0.4,15
51,0.4,11
52,0.4,13
53,0.4,13
54,0.4,8
55,0.4,10
56,0.4,9
57,0.4,7
58,0.4,10
59,0.4,7
60,0.4,8
61,0.4,9
62,0.4,8
63,0.4,5
64,0.4,6
65,0.4,12
66,0.4,7
67,0.4,7
68,0.4,13
69,0.4,14
70,0.4,18
71,0.4,14
72,0.4,9
73,0.4,14
74,0.4,14
75,0.4,15
76,0.4,14
77,0.4,11
78,0.4,11
79,0.4,16
80,0.4,17
81,0.4,12
82,0.4,15
83,0.4,17
84,0.4,12
85,0.4,9
86,0.4,8
87,0.4,6
88,0.4,12
89,0.4,8
90,0.4,10
91,0.4,10
92,0.4,10
93,0.4,11
94,0.4,13
95,0.4,9
96,0.4,7
97,0.4,14
98,0.4,13
99,0.4,10
100,0.4,12
101,0.4,12
102,0.4,13
103,0.4,7
104,0.4,14
105,0.4,13
106,0.4,13
107,0.4,14
108,0.4,12
109,0.4,14
110,0.4,7
111,0.4,12
112,0.4,14
113,0.4,10
114,0.4,16
115,0.4,11
116,0.4,10
117,0.4,15
118,0.4,20
119,0.4,17
120,0.4,18
1,0.5,14
2,0.5,11
3,0.5,13
4,0.5,16
5,0.5,10
6,0.5,9
7,0.5,7
8,0.5,3
9,0.5,14
10,0.5,7
11,0.5,10
12,0.5,14
13,0.5,8
14,0.5,8
15,0.5,12
16,0.5,12
17,0.5,5
18,0.5,9
19,0.5,11
20,0.5,13
21,0.5,10
22,0.5,9
23,0.5,5
24,0.5,10
25,0.5,10
26,0.5,7
27,0.5,12
28,0.5,7
29,0.5,8
30,0.5,13
31,0.5,16
32,0.5,11
33,0.5,10
34,0.5,5
35,0.5,10
36,0.5,10
37,0.5,12
38,0.5,10
39,0.5,13
40,0.5,6
41,0.5,11
42,0.5,12
43,0.5,7
44,0.5,13
45,0.5,12
46,0.5,12
47,0.5,13
48,0.5,10
49,0.5,12
50,0.5,8
51,0.5,7
52,0.5,7
53,0.5,13
54,0.5,12
55,0.5,9
56,0.5,9
57,0.5,9
58,0.5,3
59,0.5,15
60,0.5,11
61,0.5,10
62,0.5,13
63,0.5,11
64,0.5,9
65,0.5,9
66,0.5,17
67,0.5,15
68,0.5,9
69,0.5,13
70,0.5,8
71,0.5,7
72,0.5,11
73,0.5,12
74,0.5,12
75,0.5,11
76,0.5,10
77,0.5,14
78,0.5,10
79,0.5,11
80,0.5,12
81,0.5,19
82,0.5,20
83,0.5,8
84,0.5,9
85,0.5,15
86,0.5,11
87,0.5,19
88,0.5,10
89,0.5,11
90,0.5,16
91,0.5,11
92,0.5,11
93,0.5,16
94,0.5,12
95,0.5,12
96,0.5,12
97,0.5,11
98,0.5,14
99,0.5,10
100,0.5,12
101,0.5,12
102,0.5,15
103,0.5,12
104,0.5,12
105,0.5,9
106,0.5,12
107,0.5,12
108,0.5,12
109,0.5,11
110,0.5,21
111,0.5,19
112,0.5,12
113,0.5,15
114,0.5,14
115,0.5,16
116,0.5,16
117,0.5,17
118,0.5,15
119,0.5,15
120,0.5,19
1,0.6,10
2,0.6,8
3,0.6,8
4,0.6,5
5,0.6,12
6,0.6,12
7,0.6,11
8,0.6,14
9,0.6,9
10,0.6,12
11,0.6,11
12,0.6,7
13,0.6,9
14,0.6,6
15,0.6,7
16,0.6,9
17,0.6,9
18,0.6,8
19,0.6,9
20,0.6,7
21,0.6,8
22,0.6,5
23,0.6,9
24,0.6,10
25,0.6,10
26,0.6,9
27,0.6,6
28,0.6,8
29,0.6,8
30,0.6,10
31,0.6,12
32,0.6,13
33,0.6,12
34,0.6,13
35,0.6,12
36,0.6,6
37,0.6,8
38,0.6,7
39,0.6,7
40,0.6,17
41,0.6,16
42,0.6,13
43,0.6,15
44,0.6,12
45,0.6,11
46,0.6,10
47,0.6,10
48,0.6,9
49,0.6,11
50,0.6,14
51,0.6,12
52,0.6,8
53,0.6,7
54,0.6,13
55,0.6,9
56,0.6,9
57,0.6,8
58,0.6,14
59,0.6,7
60,0.6,13
61,0.6,13
62,0.6,9
63,0.6,16
64,0.6,13
65,0.6,10
66,0.6,12
67,0.6,12
68,0.6,16
69,0.6,7
70,0.6,10
71,0.6,12
72,0.6,14
73,0.6,12
74,0.6,12
75,0.6,11
76,0.6,10
77,0.6,14
78,0.6,16
79,0.6,15
80,0.6,18
81,0.6,20
82,0.6,9
83,0.6,14
84,0.6,13
85,0.6,13
86,0.6,13
87,0.6,10
88,0.6,11
89,0.6,12
90,0.6,11
91,0.6,12
92,0.6,17
93,0.6,7
94,0.6,13
95,0.6,15
96,0.6,13
97,0.6,18
98,0.6,8
99,0.6,15
100,0.6,13
101,0.6,19
102,0.6,15
103,0.6,19
104,0.6,9
105,0.6,17
106,0.6,14
107,0.6,17
108,0.6,16
109,0.6,12
110,0.6,15
111,0.6,12
112,0.6,16
113,0.6,23
114,0.6,13
115,0.6,10
116,0.6,20
117,0.6,17
118,0.6,17
119,0.6,18
120,0.6,14
1,0.7,8
2,0.7,10
3,0.7,13
4,0.7,8
5,0.7,8
6,0.7,8
7,0.7,13
8,0.7,13
9,0.7,11
10,0.7,13
11,0.7,5
12,0.7,6
13,0.7,10
14,0.7,14
15,0.7,14
16,0.7,13
17,0.7,11
18,0.7,9
19,0.7,10
20,0.7,7
21,0.7,14
22,0.7,13
23,0.7,14
24,0.7,11
25,0.7,9
26,0.7,11
27,0.7,9
28,0.7,9
29,0.7,11
30,0.7,5
31,0.7,7
32,0.7,13
33,0.7,12
34,0.7,14
35,0.7,12
36,0.7,17
37,0.7,10
38,0.7,11
39,0.7,14
40,0.7,10
41,0.7,13
42,0.7,13
43,0.7,11
44,0.7,7
45,0.7,13
46,0.7,14
47,0.7,11
48,0.7,16
49,0.7,11
50,0.7,14
51,0.7,16
52,0.7,16
53,0.7,14
54,0.7,6
55,0.7,12
56,0.7,17
57,0.7,15
58,0.7,10
59,0.7,12
60,0.7,9
61,0.7,15
62,0.7,12
63,0.7,13
64,0.7,14
65,0.7,18
66,0.7,13
67,0.7,12
68,0.7,13
69,0.7,18
70,0.7,11
71,0.7,12
72,0.7,13
73,0.7,13
74,0.7,12
75,0.7,10
76,0.7,13
77,0.7,8
78,0.7,14
79,0.7,12
80,0.7,6
81,0.7,6
82,0.7,13
83,0.7,14
84,0.7,15
85,0.7,13
86,0.7,15
87,0.7,12
88,0.7,14
89,0.7,16
90,0.7,12
91,0.7,19
92,0.7,10
93,0.7,14
94,0.7,11
95,0.7,13
96,0.7,11
97,0.7,8
98,0.7,14
99,0.7,11
100,0.7,15
101,0.7,9
102,0.7,14
103,0.7,11
104,0.7,17
105,0.7,11
106,0.7,19
107,0.7,16
108,0.7,14
109,0.7,18
110,0.7,9
111,0.7,12
112,0.7,19
113,0.7,11
114,0.7,18
115,0.7,19
116,0.7,15
117,0.7,14
118,0.7,14
119,0.7,18
120,0.7,10
1,0.8,10
2,0.8,6
3,0.8,6
4,0.8,13
5,0.8,14
6,0.8,15
7,0.8,9
8,0.8,6
9,0.8,10
10,0.8,11
11,0.8,17
12,0.8,14
13,0.8,12
14,0.8,16
15,0.8,6
16,0.8,6
17,0.8,11
18,0.8,8
19,0.8,14
20,0.8,12
21,0.8,8
22,0.8,8
23,0.8,9
24,0.8,9
25,0.8,9
26,0.8,4
27,0.8,12
28,0.8,10
29,0.8,9
30,0.8,13
31,0.8,11
32,0.8,8
33,0.8,12
34,0.8,13
35,0.8,11
36,0.8,8
37,0.8,11
38,0.8,11
39,0.8,11
40,0.8,15
41,0.8,10
42,0.8,13
43,0.8,13
44,0.8,12
45,0.8,6
46,0.8,11
47,0.8,12
48,0.8,6
49,0.8,12
50,0.8,7
51,0.8,6
52,0.8,10
53,0.8,11
54,0.8,16
55,0.8,16
56,0.8,14
57,0.8,17
58,0.8,18
59,0.8,9
60,0.8,12
61,0.8,9
62,0.8,14
63,0.8,9
64,0.8,13
65,0.8,9
66,0.8,11
67,0.8,15
68,0.8,11
69,0.8,11
70,0.8,17
71,0.8,11
72,0.8,8
73,0.8,9
74,0.8,6
75,0.8,12
76,0.8,9
77,0.8,9
78,0.8,5
79,0.8,6
80,0.8,13
81,0.8,9
82,0.8,10
83,0.8,11
84,0.8,8
85,0.8,11
86,0.8,19
87,0.8,13
88,0.8,14
89,0.8,12
90,0.8,11
91,0.8,7
92,0.8,10
93,0.8,10
94,0.8,11
95,0.8,11
96,0.8,15
97,0.8,11
98,0.8,13
99,0.8,14
100,0.8,13
101,0.8,14
102,0.8,12
103,0.8,10
104,0.8,9
105,0.8,18
106,0.8,13
107,0.8,11
108,0.8,15
109,0.8,13
110,0.8,16
111,0.8,8
112,0.8,8
113,0.8,12
114,0.8,10
115,0.8,15
116,0.8,12
117,0.8,15
118,0.8,12
119,0.8,8
120,0.8,12
1,0.9,8
2,0.9,11
3,0.9,9
4,0.9,8
5,0.9,6
6,0.9,8
7,0.9,7
8,0.9,9
9,0.9,11
10,0.9,11
11,0.9,7
12,0.9,11
13,0.9,12
14,0.9,6
15,0.9,8
16,0.9,9
17,0.9,9
18,0.9,14
19,0.9,9
20,0.9,6
21,0.9,8
22,0.9,7
23,0.9,7
24,0.9,5
25,0.9,6
26,0.9,10
27,0.9,12
28,0.9,12
29,0.9,13
30,0.9,12
31,0.9,13
32,0.9,13
33,0.9,10
34,0.9,12
35,0.9,9
36,0.9,7
37,0.9,8
38,0.9,14
39,0.9,10
40,0.9,7
41,0.9,6
42,0.9,10
43,0.9,10
44,0.9,13
45,0.9,11
46,0.9,8
47,0.9,13
48,0.9,13
49,0.9,9
50,0.9,12
51,0.9,6
52,0.9,7
53,0.9,8
54,0.9,14
55,0.9,12
56,0.9,11
57,0.9,10
58,0.9,9
59,0.9,16
60,0.9,12
61,0.9,10
62,0.9,7
63,0.9,10
64,0.9,10
65,0.9,9
66,0.9,11
67,0.9,10
68,0.9,15
69,0.9,10
70,0.9,11
71,0.9,12
72,0.9,9
73,0.9,9
74,0.9,11
75,0.9,7
76,0.9,7
77,0.9,8
78,0.9,10
79,0.9,15
80,0.9,8
81,0.9,14
82,0.9,8
83,0.9,10
84,0.9,14
85,0.9,8
86,0.9,10
87,0.9,13
88,0.9,18
89,0.9,8
90,0.9,9
91,0.9,4
92,0.9,6
93,0.9,8
94,0.9,15
95,0.9,13
96,0.9,13
97,0.9,12
98,0.9,8
99,0.9,12
100,0.9,10
101,0.9,12
102,0.9,7
103,0.9,12
104,0.9,12
105,0.9,9
106,0.9,10
107,0.9,12
108,0.9,8
109,0.9,10
110,0.9,14
111,0.9,17
112,0.9,13
113,0.9,9
114,0.9,7
115,0.9,13
116,0.9,12
117,0.9,7
118,0.9,8
119,0.9,10
120,0.9,10
1,1,8
2,1,5
3,1,10
4,1,8
5,1,7
6,1,6
7,1,12
8,1,12
9,1,12
10,1,6
11,1,9
12,1,10
13,1,9
14,1,8
15,1,10
16,1,12
17,1,11
18,1,7
19,1,7
20,1,17
21,1,8
22,1,11
23,1,8
24,1,12
25,1,5
26,1,7
27,1,5
28,1,9
29,1,14
30,1,11
31,1,12
32,1,10
33,1,9
34,1,6
35,1,10
36,1,11
37,1,12
38,1,11
39,1,8
40,1,4
41,1,8
42,1,10
43,1,12
44,1,12
45,1,6
46,1,8
47,1,4
48,1,8
49,1,8
50,1,9
51,1,11
52,1,11
53,1,14
54,1,8
55,1,7
56,1,7
57,1,13
58,1,8
59,1,12
60,1,13
61,1,13
62,1,13
63,1,15
64,1,15
65,1,13
66,1,11
67,1,10
68,1,5
69,1,11
70,1,8
71,1,7
72,1,10
73,1,13
74,1,13
75,1,16
76,1,12
77,1,9
78,1,16
79,1,7
80,1,11
81,1,8
82,1,11
83,1,11
84,1,10
85,1,15
86,1,9
87,1,11
88,1,5
89,1,12
90,1,11
91,1,9
92,1,11
93,1,10
94,1,7
95,1,10
96,1,9
97,1,11
98,1,10
99,1,7
100,1,12
101,1,7
102,1,13
103,1,6
104,1,11
105,1,7
106,1,8
107,1,9
108,1,14
109,1,10
110,1,6
111,1,12
112,1,9
113,1,8
114,1,12
115,1,7
116,1,12
117,1,6
118,1,8
119,1,7
120,1,13
1,1.1,5
2,1.1,10
3,1.1,6
4,1.1,10
5,1.1,5
6,1.1,9
7,1.1,12
8,1.1,10
9,1.1,10
10,1.1,11
11,1.1,5
12,1.1,10
13,1.1,7
14,1.1,5
15,1.1,8
16,1.1,9
17,1.1,8
18,1.1,9
19,1.1,12
20,1.1,5
21,1.1,5
22,1.1,6
23,1.1,8
24,1.1,7
25,1.1,14
26,1.1,14
27,1.1,10
28,1.1,12
29,1.1,9
30,1.1,11
31,1.1,5
32,1.1,6
33,1.1,10
34,1.1,8
35,1.1,6
36,1.1,6
37,1.1,10
38,1.1,4
39,1.1,10
40,1.1,13
41,1.1,13
42,1.1,5
43,1.1,6
44,1.1,10
45,1.1,12
46,1.1,9
47,1.1,6
48,1.1,10
49,1.1,13
50,1.1,8
51,1.1,13
52,1.1,9
53,1.1,8
54,1.1,9
55,1.1,15
56,1.1,11
57,1.1,7
58,1.1,19
59,1.1,11
60,1.1,12
61,1.1,8
62,1.1,12
63,1.1,14
64,1.1,3
65,1.1,8
66,1.1,6
67,1.1,5
68,1.1,10
69,1.1,6
70,1.1,6
71,1.1,9
72,1.1,13
73,1.1,9
74,1.1,18
75,1.1,9
76,1.1,14
77,1.1,12
78,1.1,9
79,1.1,10
80,1.1,10
81,1.1,10
82,1.1,7
83,1.1,6
84,1.1,9
85,1.1,14
86,1.1,10
87,1.1,9
88,1.1,9
89,1.1,11
90,1.1,6
91,1.1,18
92,1.1,11
93,1.1,15
94,1.1,10
95,1.1,10
96,1.1,8
97,1.1,8
98,1.1,11
99,1.1,9
100,1.1,7
101,1.1,6
102,1.1,6
103,1.1,11
104,1.1,9
105,1.1,16
106,1.1,15
107,1.1,11
108,1.1,6
109,1.1,11
110,1.1,10
111,1.1,8
112,1.1,10
113,1.1,12
114,1.1,8
115,1.1,8
116,1.1,7
117,1.1,9
118,1.1,9
119,1.1,10
120,1.1,8
1,1.2,15
2,1.2,13
3,1.2,10
4,1.2,7
5,1.2,7
6,1.2,8
7,1.2,3
8,1.2,10
9,1.2,2
10,1.2,10
11,1.2,14
12,1.2,7
13,1.2,10
14,1.2,7
15,1.2,9
16,1.2,4
17,1.2,8
18,1.2,7
19,1.2,5
20,1.2,9
21,1.2,10
22,1.2,14
23,1.2,14
24,1.2,11
25,1.2,16
26,1.2,7
27,1.2,13
28,1.2,14
29,1.2,9
30,1.2,11
31,1.2,13
32,1.2,11
33,1.2,8
34,1.2,9
35,1.2,10
36,1.2,15
37,1.2,7
38,1.2,10
39,1.2,12
40,1.2,12
41,1.2,9
42,1.2,12
43,1.2,14
44,1.2,7
45,1.2,10
46,1.2,5
47,1.2,12
48,1.2,10
49,1.2,10
50,1.2,9
51,1.2,6
52,1.2,18
53,1.2,7
54,1.2,11
55,1.2,10
56,1.2,14
57,1.2,9
58,1.2,10
59,1.2,10
60,1.2,9
61,1.2,11
62,1.2,6
63,1.2,6
64,1.2,15
65,1.2,6
66,1.2,10
67,1.2,12
68,1.2,6
69,1.2,11
70,1.2,9
71,1.2,14
72,1.2,8
73,1.2,10
74,1.2,12
75,1.2,17
76,1.2,9
77,1.2,17
78,1.2,12
79,1.2,8
80,1.2,9
81,1.2,8
82,1.2,14
83,1.2,9
84,1.2,11
85,1.2,5
86,1.2,6
87,1.2,8
88,1.2,11
89,1.2,9
90,1.2,15
91,1.2,10
92,1.2,12
93,1.2,9
94,1.2,7
95,1.2,6
96,1.2,7
97,1.2,10
98,1.2,8
99,1.2,7
100,1.2,6
101,1.2,10
102,1.2,10
103,1.2,14
104,1.2,11
105,1.2,9
106,1.2,9
107,1.2,11
108,1.2,13
109,1.2,7
110,1.2,9
111,1.2,5
112,1.2,7
113,1.2,9
114,1.2,10
115,1.2,5
116,1.2,3
117,1.2,11
118,1.2,5
119,1.2,10
120,1.2,9
1,1.3,9
2,1.3,11
3,1.3,10
4,1.3,12
5,1.3,11
6,1.3,6
7,1.3,9
8,1.3,9
9,1.3,11
10,1.3,4
11,1.3,13
12,1.3,13
13,1.3,7
14,1.3,11
15,1.3,8
16,1.3,7
17,1.3,7
18,1.3,13
19,1.3,9
20,1.3,5
21,1.3,10
22,1.3,7
23,1.3,11
24,1.3,18
25,1.3,10
26,1.3,14
27,1.3,11
28,1.3,10
29,1.3,14
30,1.3,8
31,1.3,7
32,1.3,7
33,1.3,6
34,1.3,6
35,1.3,10
36,1.3,8
37,1.3,13
38,1.3,10
39,1.3,10
40,1.3,8
41,1.3,11
42,1.3,9
43,1.3,7
44,1.3,9
45,1.3,8
46,1.3,13
47,1.3,13
48,1.3,13
49,1.3,10
50,1.3,10
51,1.3,16
52,1.3,9
53,1.3,15
54,1.3,9
55,1.3,8
56,1.3,16
57,1.3,16
58,1.3,12
59,1.3,10
60,1.3,7
61,1.3,6
62,1.3,15
63,1.3,14
64,1.3,10
65,1.3,16
66,1.3,9
67,1.3,8
68,1.3,10
69,1.3,9
70,1.3,14
71,1.3,6
72,1.3,17
73,1.3,16
74,1.3,10
75,1.3,8
76,1.3,16
77,1.3,12
78,1.3,9
79,1.3,15
80,1.3,12
81,1.3,7
82,1.3,5
83,1.3,8
84,1.3,7
85,1.3,9
86,1.3,12
87,1.3,8
88,1.3,7
89,1.3,11
90,1.3,8
91,1.3,8
92,1.3,13
93,1.3,11
94,1.3,12
95,1.3,7
96,1.3,15
97,1.3,8
98,1.3,17
99,1.3,16
100,1.3,17
101,1.3,10
102,1.3,9
103,1.3,6
104,1.3,12
105,1.3,9
106,1.3,9
107,1.3,9
108,1.3,9
109,1.3,13
110,1.3,12
111,1.3,9
112,1.3,8
113,1.3,10
114,1.3,12
115,1.3,12
116,1.3,8
117,1.3,7
118,1.3,17
119,1.3,15
120,1.3,12
1,1.4,10
2,1.4,8
3,1.4,13
4,1.4,7
5,1.4,17
6,1.4,9
7,1.4,9
8,1.4,7
9,1.4,7
10,1.4,9
11,1.4,10
12,1.4,9
13,1.4,8
14,1.4,10
15,1.4,8
16,1.4,6
17,1.4,5
18,1.4,4
19,1.4,11
20,1.4,14
21,1.4,8
22,1.4,13
23,1.4,16
24,1.4,7
25,1.4,10
26,1.4,12
27,1.4,12
28,1.4,9
29,1.4,7
30,1.4,10
31,1.4,8
32,1.4,6
33,1.4,8
34,1.4,6
35,1.4,8
36,1.4,7
37,1.4,10
38,1.4,9
39,1.4,9
40,1.4,11
41,1.4,9
42,1.4,9
43,1.4,9
44,1.4,8
45,1.4,10
46,1.4,15
47,1.4,17
48,1.4,10
49,1.4,9
50,1.4,11
51,1.4,15
52,1.4,7
53,1.4,11
54,1.4,17
55,1.4,14
56,1.4,6
57,1.4,8
58,1.4,5
59,1.4,6
60,1.4,12
61,1.4,11
62,1.4,10
63,1.4,3
64,1.4,8
65,1.4,11
66,1.4,11
67,1.4,11
68,1.4,14
69,1.4,12
70,1.4,10
71,1.4,11
72,1.4,12
73,1.4,8
74,1.4,7
75,1.4,9
76,1.4,13
77,1.4,15
78,1.4,14
79,1.4,10
80,1.4,11
81,1.4,15
82,1.4,10
83,1.4,12
84,1.4,7
85,1.4,7
86,1.4,4
87,1.4,12
88,1.4,10
89,1.4,6
90,1.4,9
91,1.4,8
92,1.4,7
93,1.4,10
94,1.4,9
95,1.4,10
96,1.4,6
97,1.4,8
98,1.4,6
99,1.4,10
100,1.4,5
101,1.4,11
102,1.4,15
103,1.4,16
104,1.4,11
105,1.4,12
106,1.4,10
107,1.4,8
108,1.4,11
109,1.4,10
110,1.4,7
111,1.4,14
112,1.4,12
113,1.4,6
114,1.4,12
115,1.4,13
116,1.4,17
117,1.4,11
118,1.4,10
119,1.4,11
120,1.4,10
1,1.5,11
2,1.5,10
3,1.5,12
4,1.5,11
5,1.5,9
6,1.5,10
7,1.5,11
8,1.5,7
9,1.5,12
10,1.5,11
11,1.5,11
12,1.5,7
13,1.5,14
14,1.5,19
15,1.5,10
16,1.5,8
17,1.5,15
18,1.5,16
19,1.5,15
20,1.5,16
21,1.5,20
22,1.5,14
23,1.5,6
24,1.5,11
25,1.5,7
26,1.5,6
27,1.5,9
28,1.5,11
29,1.5,8
30,1.5,4
31,1.5,8
32,1.5,12
33,1.5,13
34,1.5,13
35,1.5,9
36,1.5,8
37,1.5,9
38,1.5,13
39,1.5,9
40,1.5,12
41,1.5,8
42,1.5,13
43,1.5,8
44,1.5,16
45,1.5,11
46,1.5,11
47,1.5,7
48,1.5,13
49,1.5,11
50,1.5,14
51,1.5,7
52,1.5,13
53,1.5,15
54,1.5,8
55,1.5,8
56,1.5,7
57,1.5,11
58,1.5,12
59,1.5,12
60,1.5,5
61,1.5,11
62,1.5,9
63,1.5,12
64,1.5,8
65,1.5,10
66,1.5,10
67,1.5,14
68,1.5,4
69,1.5,9
70,1.5,9
71,1.5,11
72,1.5,7
73,1.5,10
74,1.5,4
75,1.5,12
76,1.5,12
77,1.5,8
78,1.5,10
79,1.5,11
80,1.5,9
81,1.5,6
82,1.5,10
83,1.5,9
84,1.5,9
85,1.5,8
86,1.5,11
87,1.5,7
88,1.5,7
89,1.5,11
90,1.5,12
91,1.5,12
92,1.5,6
93,1.5,4
94,1.5,11
95,1.5,14
